City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Herbertpur,IN,89.06,overcast clouds,30.45,77.7333,Hotel Shaurya
1,Cape Town,ZA,55.89,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Vanimo,PG,85.78,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
3,Kavali,IN,88.75,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
4,Ribeira Grande,PT,66.27,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
5,Acapulco,MX,81.07,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
6,Arraial Do Cabo,BR,69.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Rikitea,PF,74.43,light rain,-23.1203,-134.9692,People ThankYou
9,Mataura,NZ,51.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
10,Albany,US,66.06,broken clouds,42.6001,-73.9662,
11,Lata,PT,63.07,clear sky,40.1629,-8.3327,Casa Maquia
12,Khatanga,RU,51.96,overcast clouds,71.9667,102.5,"""Khatanga"""
13,Barrow,US,50.56,light rain,71.2906,-156.7887,King Eider Inn
14,Lahore,PK,84.18,smoke,31.5497,74.3436,The Residency Hotel
15,Hermanus,ZA,56.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Mahebourg,MU,73.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Bambous Virieux,MU,73.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
19,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
20,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
21,Upernavik,GL,38.48,broken clouds,72.7868,-56.1549,Café de Upernavik
22,Ushuaia,AR,38.86,scattered clouds,-54.8,-68.3,Albatross Hotel
23,Kapaa,US,78.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,North Bend,US,59.23,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
25,Touros,BR,74.17,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
26,Busselton,AU,58.64,clear sky,-33.65,115.3333,Observatory Guest House
27,Santiago,CL,46.85,broken clouds,-33.4569,-70.6483,Hotel Panamericano
28,Bredasdorp,ZA,50.2,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Muroto,JP,78.73,overcast clouds,33.2833,134.15,Oota Ryokan
30,Ostrovnoy,RU,61.66,clear sky,68.0531,39.5131,
31,Manbij,SY,78.03,clear sky,36.5281,37.9549,Manbej City Hotel
32,Chern,RU,60.15,broken clouds,53.4523,36.9145,Красная Нива
33,Chumikan,RU,62.28,overcast clouds,54.7183,135.315,Fortuna
34,Jamestown,US,63.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
35,San Patricio,US,86.85,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
37,Kysyl-Syr,RU,84.54,clear sky,63.8986,122.7617,
38,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
39,Sibolga,ID,85.1,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
40,New Norfolk,AU,57.88,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
41,Xai-Xai,MZ,60.35,clear sky,-25.0519,33.6442,Complexo da Familia
42,Solnechnyy,RU,80.69,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
43,Jasper,US,80.04,overcast clouds,37.2001,-94.3502,Guest House Motel
44,Dikson,RU,32.81,overcast clouds,73.5069,80.5464,
45,Norman Wells,CA,77.04,few clouds,65.282,-126.8329,Heritage Hotel
46,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
47,Whitehorse,CA,72.01,smoke,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
48,Emerald,AU,53.1,light rain,-23.5333,148.1667,The Irish Village
49,Narsaq,GL,49.03,overcast clouds,60.9167,-46.05,Sleep In Narsaq
50,Torbay,CA,64.27,overcast clouds,47.6666,-52.7314,Gallows Cove
51,Ulagan,RU,61.16,scattered clouds,50.6321,87.9563,Gostevoy Dom
52,Beringovskiy,RU,45.18,overcast clouds,63.05,179.3167,
53,Lianzhou,CN,77.04,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
54,Sao Filipe,CV,72.81,clear sky,14.8961,-24.4956,Hotel Xaguate
55,Broken Hill,AU,52.32,clear sky,-31.95,141.4333,Royal Exchange Hotel
56,Honningsvag,NO,69.55,few clouds,70.9821,25.9704,Nordkapp Vandrerhjem
57,Seshcha,RU,62.96,broken clouds,53.7361,33.3387,Podorozhnik
58,Byron Bay,AU,69.94,few clouds,-28.65,153.6167,Backpackers Inn
59,Shunyi,CN,75.15,scattered clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
60,Souillac,MU,70.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
62,Seminole,US,79.07,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
63,Carnarvon,AU,68.36,clear sky,-24.8667,113.6333,Hospitality Carnarvon
64,Guerrero Negro,MX,68.23,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
65,Tasiilaq,GL,34.77,scattered clouds,65.6145,-37.6368,The Red House
66,Lebu,CL,47.34,few clouds,-37.6167,-73.65,Hostal Las Lilas
67,Paamiut,GL,42.85,overcast clouds,61.994,-49.6678,Pistut
68,Punta Arenas,CL,32.11,light snow,-53.15,-70.9167,Hotel Hain
69,Sikandra Rao,IN,94.66,scattered clouds,27.7,78.4,Murli Krishna Mangal Dham
70,Chokurdakh,RU,68.86,overcast clouds,70.6333,147.9167,
71,Bangangte,CM,59.16,broken clouds,5.1409,10.5198,Hôtel Cristal Foua Ndigong
72,Isla Vista,US,75.38,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
73,Saint George,US,85.14,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
