City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Herbertpur,30.45,77.7333,89.06,57,95,1.52,IN,overcast clouds
1,Cape Town,-33.9258,18.4232,55.89,90,75,11.5,ZA,light rain
2,Vanimo,-2.6741,141.3028,85.78,64,56,7.92,PG,broken clouds
3,Kavali,14.9167,79.9833,88.75,55,100,19.39,IN,overcast clouds
4,Ribeira Grande,38.5167,-28.7,66.27,86,38,13.02,PT,scattered clouds
5,Acapulco,16.8634,-99.8901,81.07,83,77,8.97,MX,broken clouds
6,Arraial Do Cabo,-22.9661,-42.0278,69.96,85,0,19.42,BR,clear sky
7,Vaini,-21.2,-175.2,75.36,78,75,9.22,TO,broken clouds
8,Rikitea,-23.1203,-134.9692,74.43,76,6,21.97,PF,light rain
9,Mataura,-46.1927,168.8643,51.48,69,42,9.48,NZ,scattered clouds
10,Albany,42.6001,-73.9662,66.06,75,71,3.91,US,broken clouds
11,Lata,40.1629,-8.3327,63.07,83,1,2.75,PT,clear sky
12,Khatanga,71.9667,102.5,51.96,72,96,16.89,RU,overcast clouds
13,Barrow,71.2906,-156.7887,50.56,63,17,13.38,US,light rain
14,Lahore,31.5497,74.3436,84.18,84,75,19.57,PK,smoke
15,Hermanus,-34.4187,19.2345,56.8,80,35,13.85,ZA,light rain
16,Mahebourg,-20.4081,57.7,73.26,78,40,14.97,MU,light intensity shower rain
17,Saint-Philippe,-21.3585,55.7679,69.39,74,61,14.54,RE,broken clouds
18,Bambous Virieux,-20.3428,57.7575,73.22,78,40,14.97,MU,light intensity shower rain
19,Kununurra,-15.7667,128.7333,75.18,31,14,13.8,AU,few clouds
20,Victoria,22.2855,114.1577,87.85,78,100,28.01,HK,overcast clouds
21,Upernavik,72.7868,-56.1549,38.48,90,54,2.33,GL,broken clouds
22,Ushuaia,-54.8,-68.3,38.86,75,40,12.66,AR,scattered clouds
23,Kapaa,22.0752,-159.319,78.12,79,100,8.01,US,overcast clouds
24,North Bend,43.4065,-124.2243,59.23,100,90,5.1,US,overcast clouds
25,Touros,-5.1989,-35.4608,74.17,93,97,12.1,BR,moderate rain
26,Busselton,-33.65,115.3333,58.64,56,0,9.93,AU,clear sky
27,Santiago,-33.4569,-70.6483,46.85,74,63,2.3,CL,broken clouds
28,Bredasdorp,-34.5322,20.0403,50.2,81,8,7.05,ZA,clear sky
29,Muroto,33.2833,134.15,78.73,86,100,7.52,JP,overcast clouds
30,Ostrovnoy,68.0531,39.5131,61.66,58,7,16.33,RU,clear sky
31,Manbij,36.5281,37.9549,78.03,31,0,13.67,SY,clear sky
32,Chern,53.4523,36.9145,60.15,72,77,7.83,RU,broken clouds
33,Chumikan,54.7183,135.315,62.28,80,92,10.31,RU,overcast clouds
34,Jamestown,42.097,-79.2353,63.72,81,100,2.89,US,overcast clouds
