City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gamba,-2.65,10.0,71.33,91,56,4.09,GA,2022-06-28 23:42:43
1,Mahebourg,-20.4081,57.7,66.49,88,40,12.66,MU,2022-06-28 23:42:43
2,Kurinjippadi,11.5667,79.6,84.02,61,84,5.7,IN,2022-06-28 23:42:43
3,Niamey,13.5137,2.1098,93.49,40,0,10.36,NE,2022-06-28 23:42:44
4,Hilo,19.7297,-155.09,83.28,69,100,8.01,US,2022-06-28 23:42:44
5,Georgetown,5.4112,100.3354,80.89,92,20,1.14,MY,2022-06-28 23:40:33
6,Ushuaia,-54.8,-68.3,37.06,87,75,11.5,AR,2022-06-28 23:41:03
7,Camacari,-12.6975,-38.3242,78.57,79,42,6.29,BR,2022-06-28 23:42:45
8,Albany,42.6001,-73.9662,75.85,51,16,4.47,US,2022-06-28 23:41:41
9,Barrow,71.2906,-156.7887,48.22,87,100,9.22,US,2022-06-28 23:42:46
10,Tual,-5.6667,132.75,81.21,80,39,9.1,ID,2022-06-28 23:42:46
11,New Norfolk,-42.7826,147.0587,52.88,77,100,1.99,AU,2022-06-28 23:42:47
12,Puerto Ayora,-0.7393,-90.3518,70.56,89,21,10.0,EC,2022-06-28 23:42:47
13,Caravelas,-17.7125,-39.2481,66.45,68,45,3.29,BR,2022-06-28 23:42:48
14,Bluff,-46.6,168.3333,48.79,78,86,19.64,NZ,2022-06-28 23:42:48
15,Kathu,7.9178,98.3332,87.75,81,67,14.45,TH,2022-06-28 23:41:55
16,San Patricio,28.017,-97.5169,84.83,55,94,11.34,US,2022-06-28 23:42:49
17,Butaritari,3.0707,172.7902,82.51,77,100,18.81,KI,2022-06-28 23:42:49
18,Busselton,-33.65,115.3333,47.16,84,0,9.48,AU,2022-06-28 23:42:50
19,Rikitea,-23.1203,-134.9692,72.3,76,66,25.41,PF,2022-06-28 23:42:50
20,Udachnyy,66.4167,112.4,53.46,53,99,15.05,RU,2022-06-28 23:42:51
21,Tuktoyaktuk,69.4541,-133.0374,64.4,63,20,9.22,CA,2022-06-28 23:42:51
22,Ixtapa,20.7,-105.2,85.23,79,40,12.66,MX,2022-06-28 23:42:52
23,Komsomolskiy,40.4272,71.7189,79.52,34,0,6.91,UZ,2022-06-28 23:42:52
24,Vaini,-21.2,-175.2,77.16,94,75,5.75,TO,2022-06-28 23:42:52
25,Bambous Virieux,-20.3428,57.7575,66.45,88,40,12.66,MU,2022-06-28 23:42:53
26,Nome,64.5011,-165.4064,58.15,76,75,6.91,US,2022-06-28 23:42:53
27,Sabha,27.0377,14.4283,88.07,15,1,10.65,LY,2022-06-28 23:42:54
28,Torbay,47.6666,-52.7314,70.57,83,100,16.11,CA,2022-06-28 23:42:54
29,Souillac,-20.5167,57.5167,66.58,88,40,12.66,MU,2022-06-28 23:42:54
30,Bredasdorp,-34.5322,20.0403,57.85,43,17,6.58,ZA,2022-06-28 23:42:55
31,Atuona,-9.8,-139.0333,77.67,71,27,18.86,PF,2022-06-28 23:42:55
32,Cockburn Town,21.4612,-71.1419,82.58,77,17,19.15,TC,2022-06-28 23:42:56
33,Geraldton,-28.7667,114.6,48.61,76,0,10.36,AU,2022-06-28 23:42:56
34,Venice,27.0998,-82.4543,87.84,83,40,5.75,US,2022-06-28 23:42:57
35,Jiuquan,39.7432,98.5174,80.44,19,23,2.21,CN,2022-06-28 23:42:57
36,Kungurtug,50.5994,97.5228,60.08,87,46,1.72,RU,2022-06-28 23:42:57
37,Mataura,-46.1927,168.8643,48.47,85,99,5.99,NZ,2022-06-28 23:42:58
